p,k,Nnew,LMFDB_label,twist,ap_sign,sLinv,sLderiv,sLval,rhobar,epp,fpp
5,8,105,105.8.a.e,8,-1,9999,9999,5,2:[1:4];11:[1:3];13:[1:3];17:[1:4];19:[1:0];23:[1:3];29:[1:0];31:[1:3];37:[1:4];41:[1:3];43:[1:3];47:[1:4];53:[1:3];59:[1:0];61:[1:3],1,1
5,8,105,105.8.a.e,8,-1,0,1,1,2:[1:3:3];11:[1:3];13:[1:4:2];17:[1:1:2];19:[1:1:1];23:[1:4:1];29:[1:2:3];31:[1:0:3];37:[1:3:3];41:[1:0];43:[1:4:2];47:[1:2:4];53:[1:4:1];59:[1:1:1];61:[1:3:4],1,2
7,8,105,105.8.a.e,13,-1,-1,1,2,2:[1:2];11:[1:6];13:[1:3];17:[1:4];19:[1:6];23:[1:4];29:[1:1];31:[1:6];37:[1:0];41:[1:6];43:[1:6];47:[1:5];53:[1:3];59:[1:1];61:[1:0];67:[1:0];71:[1:1];73:[1:6];79:[1:1];83:[1:5];89:[1:5];97:[1:6],1,1
7,8,105,105.8.a.e,13,-1,-1,1,2,2:[1:3];11:[1:1];13:[1:1];17:[1:0];19:[1:4];23:[1:0];29:[1:1];31:[1:5];37:[1:3];41:[1:3];43:[1:6];47:[1:2];53:[1:4];59:[1:4];61:[1:0];67:[1:0];71:[1:6];73:[1:1];79:[1:1];83:[1:1];89:[1:4];97:[1:5],1,1
7,8,105,105.8.a.e,13,-1,0,0,0,2:[1:0:2];11:[1:3:5];13:[1:0:1];17:[1:5];19:[1:4:5];23:[1:3];29:[1:2];31:[1:5:2];37:[1:3:1];41:[1:5];43:[1:0:4];47:[1:1:6];53:[1:2:2];59:[1:0:4];61:[1:5];67:[1:4];71:[1:1:3];73:[1:5:2];79:[1:6:6];83:[1:5:5];89:[1:5];97:[1:1:3],1,2
3,10,105,105.10.a.e,17,-1,-1,0,1,2:[1:2:2];11:[1:1:2];13:[1:1:2];17:[1:1:2];19:[1:0:1];23:[1:1:2];29:[1:2];31:[1:0],1,2
3,10,105,105.10.a.e,17,-1,-2,-1,1,2:[1:2:2];11:[1:1:2];13:[1:1:2];17:[1:1:2];19:[1:0:1];23:[1:1:2];29:[1:2];31:[1:0],1,2
5,10,105,105.10.a.e,17,-1,-2,1,3,2:[1:1];11:[1:0];13:[1:4];17:[1:2];19:[1:3];23:[1:3];29:[1:2];31:[1:1];37:[1:3];41:[1:1];43:[1:4];47:[1:3];53:[1:0];59:[1:1];61:[1:2],1,1
5,10,105,105.10.a.e,17,-1,-2,3,5,2:[1:3];11:[1:3];13:[1:4];17:[1:3];19:[1:0];23:[1:4];29:[1:0];31:[1:3];37:[1:3];41:[1:3];43:[1:4];47:[1:3];53:[1:4];59:[1:0];61:[1:3],1,1
5,10,105,105.10.a.e,17,-1,-1,0,1,2:[1:1:2];11:[1:3];13:[1:2:3];17:[1:2:3];19:[1:4:1];23:[1:2:4];29:[1:3:3];31:[1:0:3];37:[1:1:2];41:[1:0];43:[1:2:3];47:[1:4:1];53:[1:2:4];59:[1:4:1];61:[1:3:4],1,2
7,10,105,105.10.a.e,17,-1,-3,3,6,2:[1:1];11:[1:1];13:[1:0];17:[1:2];19:[1:5];23:[1:1];29:[1:5];31:[1:2];37:[1:1];41:[1:0];43:[1:5];47:[1:5];53:[1:1];59:[1:2];61:[1:5];67:[1:1];71:[1:5];73:[1:2];79:[1:1];83:[1:0];89:[1:5];97:[1:0],1,1
7,10,105,105.10.a.e,17,-1,-1,1,2,2:[1:4];11:[1:3];13:[1:4];17:[1:5];19:[1:2];23:[1:1];29:[1:1];31:[1:4];37:[1:0];41:[1:1];43:[1:6];47:[1:4];53:[1:5];59:[1:3];61:[1:0];67:[1:0];71:[1:1];73:[1:4];79:[1:2];83:[1:2];89:[1:4];97:[1:1],1,1
7,10,105,105.10.a.e,17,-1,-3,0,3,2:[1:5];11:[1:0];13:[1:1];17:[1:1];19:[1:5];23:[1:5];29:[1:2];31:[1:2];37:[1:4];41:[1:1];43:[1:3];47:[1:2];53:[1:2];59:[1:2];61:[1:3];67:[1:5];71:[1:5];73:[1:6];79:[1:5];83:[1:3];89:[1:2];97:[1:3],1,1
7,10,105,105.10.a.e,17,-1,-1,1,2,2:[1:6];11:[1:4];13:[1:6];17:[1:0];19:[1:6];23:[1:0];29:[1:1];31:[1:1];37:[1:6];41:[1:4];43:[1:6];47:[1:3];53:[1:2];59:[1:5];61:[1:0];67:[1:0];71:[1:6];73:[1:3];79:[1:2];83:[1:6];89:[1:6];97:[1:2],1,1
3,8,105,105.8.a.d,17,-1,-2,0,2,2:[1:2:2];11:[1:1:2];13:[1:1:2];17:[1:1:2];19:[1:0:1];23:[1:1:2];29:[1:2];31:[1:0],1,2
3,8,105,105.8.a.d,17,-1,-1,0,1,2:[1:2:2];11:[1:1:2];13:[1:1:2];17:[1:1:2];19:[1:0:1];23:[1:1:2];29:[1:2];31:[1:0],1,2
5,8,105,105.8.a.d,44,1,-2,0,2,2:[1:3];11:[1:0];13:[1:3];17:[1:1];19:[1:2];23:[1:1];29:[1:3];31:[1:1];37:[1:4];41:[1:1];43:[1:3];47:[1:4];53:[1:0];59:[1:4];61:[1:2],1,1
5,8,105,105.8.a.d,44,1,9999,9999,5,2:[1:4];11:[1:3];13:[1:3];17:[1:4];19:[1:0];23:[1:3];29:[1:0];31:[1:3];37:[1:4];41:[1:3];43:[1:3];47:[1:4];53:[1:3];59:[1:0];61:[1:3],1,1
5,8,105,105.8.a.d,44,1,0,1,1,2:[1:3:3];11:[1:3];13:[1:4:2];17:[1:1:2];19:[1:1:1];23:[1:4:1];29:[1:2:3];31:[1:0:3];37:[1:3:3];41:[1:0];43:[1:4:2];47:[1:2:4];53:[1:4:1];59:[1:1:1];61:[1:3:4],1,2
7,8,105,105.8.a.d,17,-1,0,1,1,2:[1:0];11:[1:0];13:[1:1];17:[1:1];19:[1:2];23:[1:1];29:[1:6];31:[1:2];37:[1:0];41:[1:2];43:[1:1];47:[1:1];53:[1:0];59:[1:6];61:[1:5];67:[1:0];71:[1:2];73:[1:3];79:[1:6];83:[1:5];89:[1:1];97:[1:3],1,1
7,8,105,105.8.a.d,17,-1,0,0,0,2:[1:1];11:[1:4];13:[1:5];17:[1:2];19:[1:4];23:[1:0];29:[1:2];31:[1:0];37:[1:3];41:[1:3];43:[1:3];47:[1:1];53:[1:3];59:[1:3];61:[1:5];67:[1:2];71:[1:1];73:[1:3];79:[1:0];83:[1:5];89:[1:1];97:[1:2],1,1
7,8,105,105.8.a.d,17,-1,-2,0,2,2:[1:2:5];11:[1:2:5];13:[1:1:6];17:[1:3:1];19:[1:2:3];23:[1:6:6];29:[1:5:2];31:[1:6:4];37:[1:3:5];41:[1:2:5];43:[1:4:5];47:[1:2];53:[1:3:1];59:[1:3:5];61:[1:4];67:[1:5:3];71:[1:5:2];73:[1:1:4];79:[1:1:6];83:[1:3];89:[1:3];97:[1:2:2],1,2
3,8,105,105.8.a.h,8,-1,9999,9999,4,2:[1:0];11:[1:0];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1],1,1
3,8,105,105.8.a.h,8,-1,-1,-1,0,2:[1:1];11:[1:0];13:[1:0];17:[1:2];19:[1:2];23:[1:2];29:[1:1];31:[1:2],1,1
3,8,105,105.8.a.h,8,-1,9999,9999,3,2:[1:0:1];11:[1:2:2];13:[1:0:1];17:[1:2];19:[1:2:2];23:[1:2];29:[1:2];31:[1:0:1],1,2
5,8,105,105.8.a.h,1,1,0,0,0,2:[1:0];11:[1:3];13:[1:0];17:[1:1];19:[1:2];23:[1:2];29:[1:3];31:[1:4];37:[1:4];41:[1:2];43:[1:0];47:[1:3];53:[1:1];59:[1:0];61:[1:2],2,1
5,8,105,105.8.a.h,1,1,-2,0,2,2:[1:2];11:[1:1];13:[1:1];17:[1:2];19:[1:4];23:[1:0];29:[1:3];31:[1:0];37:[1:3];41:[1:3];43:[1:2];47:[1:0];53:[1:2];59:[1:2];61:[1:2],1,1
5,8,105,105.8.a.h,1,1,-2,0,2,2:[1:2];11:[1:1];13:[1:1];17:[1:2];19:[1:4];23:[1:0];29:[1:3];31:[1:0];37:[1:3];41:[1:3];43:[1:2];47:[1:0];53:[1:2];59:[1:2];61:[1:2],1,1
7,8,105,105.8.a.h,1,1,0,1,1,2:[1:0];11:[1:0];13:[1:1];17:[1:1];19:[1:2];23:[1:1];29:[1:6];31:[1:2];37:[1:0];41:[1:2];43:[1:1];47:[1:1];53:[1:0];59:[1:6];61:[1:5];67:[1:0];71:[1:2];73:[1:3];79:[1:6];83:[1:5];89:[1:1];97:[1:3],1,1
7,8,105,105.8.a.h,1,1,0,0,0,2:[1:1];11:[1:4];13:[1:5];17:[1:2];19:[1:4];23:[1:0];29:[1:2];31:[1:0];37:[1:3];41:[1:3];43:[1:3];47:[1:1];53:[1:3];59:[1:3];61:[1:5];67:[1:2];71:[1:1];73:[1:3];79:[1:0];83:[1:5];89:[1:1];97:[1:2],1,1
7,8,105,105.8.a.h,1,1,-2,0,2,2:[1:2:5];11:[1:2:5];13:[1:1:6];17:[1:3:1];19:[1:2:3];23:[1:6:6];29:[1:5:2];31:[1:6:4];37:[1:3:5];41:[1:2:5];43:[1:4:5];47:[1:2];53:[1:3:1];59:[1:3:5];61:[1:4];67:[1:5:3];71:[1:5:2];73:[1:1:4];79:[1:1:6];83:[1:3];89:[1:3];97:[1:2:2],1,2
3,8,105,105.8.a.i,1,1,0,1,1,2:[1:0];11:[1:0];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1],1,1
3,8,105,105.8.a.i,1,1,9999,9999,3,2:[1:2];11:[1:0];13:[1:0];17:[1:1];19:[1:2];23:[1:1];29:[1:2];31:[1:2],1,1
3,8,105,105.8.a.i,1,1,-1,-1,0,2:[1:0:1];11:[1:1:2];13:[1:0:1];17:[1:1];19:[1:2:2];23:[1:1];29:[1:1];31:[1:0:1],1,2
5,8,105,105.8.a.i,8,-1,0,2,2,2:[1:1];11:[1:3];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:3];37:[1:1];41:[1:3];43:[1:2];47:[1:1];53:[1:2];59:[1:0];61:[1:3],1,1
5,8,105,105.8.a.i,8,-1,0,0,0,2:[1:2];11:[1:0];13:[1:2];17:[1:4];19:[1:2];23:[1:4];29:[1:3];31:[1:1];37:[1:1];41:[1:1];43:[1:2];47:[1:1];53:[1:0];59:[1:4];61:[1:2],1,1
5,8,105,105.8.a.i,8,-1,-2,1,3,2:[1:2:3];11:[1:3];13:[1:1:2];17:[1:4:2];19:[1:1:1];23:[1:1:1];29:[1:2:3];31:[1:0:3];37:[1:2:3];41:[1:0];43:[1:1:2];47:[1:3:4];53:[1:1:1];59:[1:1:1];61:[1:3:4],1,2
7,8,105,105.8.a.i,1,1,-2,0,2,2:[1:0];11:[1:0];13:[1:6];17:[1:6];19:[1:5];23:[1:1];29:[1:6];31:[1:5];37:[1:0];41:[1:5];43:[1:1];47:[1:6];53:[1:0];59:[1:1];61:[1:2];67:[1:0];71:[1:2];73:[1:4];79:[1:6];83:[1:2];89:[1:6];97:[1:4],1,1
7,8,105,105.8.a.i,1,1,-3,1,4,2:[1:1];11:[1:4];13:[1:2];17:[1:5];19:[1:3];23:[1:0];29:[1:2];31:[1:0];37:[1:3];41:[1:4];43:[1:3];47:[1:6];53:[1:3];59:[1:4];61:[1:2];67:[1:2];71:[1:1];73:[1:4];79:[1:0];83:[1:2];89:[1:6];97:[1:5],1,1
7,8,105,105.8.a.i,1,1,0,1,1,2:[1:2:5];11:[1:2:5];13:[1:6:6];17:[1:4:1];19:[1:5:3];23:[1:6:6];29:[1:5:2];31:[1:1:4];37:[1:3:5];41:[1:5:5];43:[1:4:5];47:[1:5];53:[1:3:1];59:[1:4:5];61:[1:3];67:[1:5:3];71:[1:5:2];73:[1:6:4];79:[1:1:6];83:[1:4];89:[1:4];97:[1:5:2],1,2
3,10,105,105.10.a.f,1,1,-1,0,1,2:[1:2:2];11:[1:1:2];13:[1:1:2];17:[1:1:2];19:[1:0:1];23:[1:1:2];29:[1:2];31:[1:0],1,2
3,10,105,105.10.a.f,1,1,-2,-1,1,2:[1:2:2];11:[1:1:2];13:[1:1:2];17:[1:1:2];19:[1:0:1];23:[1:1:2];29:[1:2];31:[1:0],1,2
5,10,105,105.10.a.f,8,-1,-2,1,3,2:[1:0];11:[1:3];13:[1:0];17:[1:3];19:[1:3];23:[1:4];29:[1:2];31:[1:4];37:[1:2];41:[1:2];43:[1:0];47:[1:4];53:[1:2];59:[1:0];61:[1:2],2,1
5,10,105,105.10.a.f,8,-1,-1,0,1,2:[1:1];11:[1:1];13:[1:2];17:[1:1];19:[1:1];23:[1:0];29:[1:2];31:[1:0];37:[1:4];41:[1:3];43:[1:4];47:[1:0];53:[1:4];59:[1:3];61:[1:2],1,2
7,10,105,105.10.a.f,13,-1,-3,1,4,2:[1:0];11:[1:0];13:[1:1];17:[1:4];19:[1:4];23:[1:2];29:[1:6];31:[1:1];37:[1:0];41:[1:2];43:[1:1];47:[1:2];53:[1:0];59:[1:3];61:[1:3];67:[1:0];71:[1:2];73:[1:5];79:[1:5];83:[1:5];89:[1:2];97:[1:3],1,1
7,10,105,105.10.a.f,13,-1,-4,0,4,2:[1:2];11:[1:2];13:[1:5];17:[1:1];19:[1:1];23:[1:0];29:[1:2];31:[1:0];37:[1:6];41:[1:3];43:[1:3];47:[1:2];53:[1:5];59:[1:5];61:[1:3];67:[1:1];71:[1:1];73:[1:5];79:[1:0];83:[1:5];89:[1:2];97:[1:2],1,1
7,10,105,105.10.a.f,13,-1,0,1,1,2:[1:4:6];11:[1:1:3];13:[1:1:6];17:[1:5:2];19:[1:4:5];23:[1:5:3];29:[1:5:2];31:[1:3:1];37:[1:6:6];41:[1:2:5];43:[1:4:5];47:[1:4];53:[1:5:2];59:[1:5:3];61:[1:1];67:[1:6:6];71:[1:5:2];73:[1:4:1];79:[1:2:3];83:[1:3];89:[1:6];97:[1:2:2],1,2
3,10,105,105.10.a.d,37,1,9999,9999,5,2:[1:0];11:[1:0];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1],1,1
3,10,105,105.10.a.d,37,1,-2,-1,1,2:[1:1];11:[1:0];13:[1:0];17:[1:2];19:[1:2];23:[1:2];29:[1:1];31:[1:2],1,1
3,10,105,105.10.a.d,37,1,-2,2,4,2:[1:0:1];11:[1:2:2];13:[1:0:1];17:[1:2];19:[1:2:2];23:[1:2];29:[1:2];31:[1:0:1],1,2
5,10,105,105.10.a.d,17,-1,-2,0,2,2:[1:4:2];11:[1:3];13:[1:3:3];17:[1:3:3];19:[1:4:1];23:[1:3:4];29:[1:3:3];31:[1:0:3];37:[1:4:2];41:[1:0];43:[1:3:3];47:[1:1:1];53:[1:3:4];59:[1:4:1];61:[1:3:4],1,4
7,10,105,105.10.a.d,44,1,-3,1,4,2:[1:0];11:[1:0];13:[1:1];17:[1:4];19:[1:4];23:[1:2];29:[1:6];31:[1:1];37:[1:0];41:[1:2];43:[1:1];47:[1:2];53:[1:0];59:[1:3];61:[1:3];67:[1:0];71:[1:2];73:[1:5];79:[1:5];83:[1:5];89:[1:2];97:[1:3],1,1
7,10,105,105.10.a.d,44,1,-4,2,6,2:[1:2];11:[1:2];13:[1:5];17:[1:1];19:[1:1];23:[1:0];29:[1:2];31:[1:0];37:[1:6];41:[1:3];43:[1:3];47:[1:2];53:[1:5];59:[1:5];61:[1:3];67:[1:1];71:[1:1];73:[1:5];79:[1:0];83:[1:5];89:[1:2];97:[1:2],1,1
7,10,105,105.10.a.d,44,1,0,1,1,2:[1:4:6];11:[1:1:3];13:[1:1:6];17:[1:5:2];19:[1:4:5];23:[1:5:3];29:[1:5:2];31:[1:3:1];37:[1:6:6];41:[1:2:5];43:[1:4:5];47:[1:4];53:[1:5:2];59:[1:5:3];61:[1:1];67:[1:6:6];71:[1:5:2];73:[1:4:1];79:[1:2:3];83:[1:3];89:[1:6];97:[1:2:2],1,2
3,10,105,105.10.a.c,37,1,-1,0,1,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
3,10,105,105.10.a.c,37,1,-2,1,3,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
5,10,105,105.10.a.c,44,1,-2,1,3,2:[1:0];11:[1:3];13:[1:0];17:[1:3];19:[1:3];23:[1:4];29:[1:2];31:[1:4];37:[1:2];41:[1:2];43:[1:0];47:[1:4];53:[1:2];59:[1:0];61:[1:2],2,1
5,10,105,105.10.a.c,44,1,-1,0,1,2:[1:1];11:[1:1];13:[1:2];17:[1:1];19:[1:1];23:[1:0];29:[1:2];31:[1:0];37:[1:4];41:[1:3];43:[1:4];47:[1:0];53:[1:4];59:[1:3];61:[1:2],1,1
5,10,105,105.10.a.c,44,1,-1,0,1,2:[1:1];11:[1:1];13:[1:2];17:[1:1];19:[1:1];23:[1:0];29:[1:2];31:[1:0];37:[1:4];41:[1:3];43:[1:4];47:[1:0];53:[1:4];59:[1:3];61:[1:2],1,1
7,10,105,105.10.a.c,17,-1,-1,1,2,2:[1:4];11:[1:3];13:[1:3];17:[1:2];19:[1:5];23:[1:1];29:[1:1];31:[1:3];37:[1:0];41:[1:6];43:[1:6];47:[1:3];53:[1:5];59:[1:4];61:[1:0];67:[1:0];71:[1:1];73:[1:3];79:[1:2];83:[1:5];89:[1:3];97:[1:6],1,1
7,10,105,105.10.a.c,17,-1,-1,0,1,2:[1:6];11:[1:4];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:1];31:[1:6];37:[1:6];41:[1:3];43:[1:6];47:[1:4];53:[1:2];59:[1:2];61:[1:0];67:[1:0];71:[1:6];73:[1:4];79:[1:2];83:[1:1];89:[1:1];97:[1:5],1,1
7,10,105,105.10.a.c,17,-1,-3,0,3,2:[1:0:1];11:[1:5:3];13:[1:0:1];17:[1:6];19:[1:1:6];23:[1:6];29:[1:2];31:[1:6:4];37:[1:6:4];41:[1:5];43:[1:0:4];47:[1:2:3];53:[1:1:4];59:[1:0:1];61:[1:3];67:[1:2];71:[1:1:3];73:[1:6:4];79:[1:5:3];83:[1:5:5];89:[1:3];97:[1:1:3],1,2
3,10,105,105.10.a.b,8,-1,-1,0,1,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
3,10,105,105.10.a.b,8,-1,-2,1,3,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
5,10,105,105.10.a.b,1,1,-2,1,3,2:[1:1];11:[1:0];13:[1:4];17:[1:2];19:[1:3];23:[1:3];29:[1:2];31:[1:1];37:[1:3];41:[1:1];43:[1:4];47:[1:3];53:[1:0];59:[1:1];61:[1:2],1,1
5,10,105,105.10.a.b,1,1,-2,0,2,2:[1:3];11:[1:3];13:[1:4];17:[1:3];19:[1:0];23:[1:4];29:[1:0];31:[1:3];37:[1:3];41:[1:3];43:[1:4];47:[1:3];53:[1:4];59:[1:0];61:[1:3],1,1
5,10,105,105.10.a.b,1,1,-1,0,1,2:[1:1:2];11:[1:3];13:[1:2:3];17:[1:2:3];19:[1:4:1];23:[1:2:4];29:[1:3:3];31:[1:0:3];37:[1:1:2];41:[1:0];43:[1:2:3];47:[1:4:1];53:[1:2:4];59:[1:4:1];61:[1:3:4],1,2
7,10,105,105.10.a.b,13,-1,1,2,1,2:[1:0];11:[1:0];13:[1:6];17:[1:3];19:[1:3];23:[1:2];29:[1:6];31:[1:6];37:[1:0];41:[1:5];43:[1:1];47:[1:5];53:[1:0];59:[1:4];61:[1:4];67:[1:0];71:[1:2];73:[1:2];79:[1:5];83:[1:2];89:[1:5];97:[1:4],1,1
7,10,105,105.10.a.b,13,-1,0,1,1,2:[1:2];11:[1:2];13:[1:2];17:[1:6];19:[1:6];23:[1:0];29:[1:2];31:[1:0];37:[1:6];41:[1:4];43:[1:3];47:[1:5];53:[1:5];59:[1:2];61:[1:4];67:[1:1];71:[1:1];73:[1:2];79:[1:0];83:[1:2];89:[1:5];97:[1:5],1,1
7,10,105,105.10.a.b,13,-1,-3,1,4,2:[1:4:6];11:[1:1:3];13:[1:6:6];17:[1:2:2];19:[1:3:5];23:[1:5:3];29:[1:5:2];31:[1:4:1];37:[1:6:6];41:[1:5:5];43:[1:4:5];47:[1:3];53:[1:5:2];59:[1:2:3];61:[1:6];67:[1:6:6];71:[1:5:2];73:[1:3:1];79:[1:2:3];83:[1:4];89:[1:1];97:[1:5:2],1,2
3,12,105,105.12.a.b,17,-1,-1,0,1,2:[1:0];11:[1:0];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1],1,1
3,12,105,105.12.a.b,17,-1,-1,1,2,2:[1:2];11:[1:0];13:[1:0];17:[1:1];19:[1:2];23:[1:1];29:[1:2];31:[1:2],1,1
3,12,105,105.12.a.b,17,-1,-4,3,7,2:[1:0:1];11:[1:1:2];13:[1:0:1];17:[1:1];19:[1:2:2];23:[1:1];29:[1:1];31:[1:0:1],1,2
5,12,105,105.12.a.b,17,-1,-2,3/2,7/2,2:[1:3];11:[1:1];13:[1:4];17:[1:3];19:[1:4];23:[1:0];29:[1:3];31:[1:0];37:[1:2];41:[1:3];43:[1:3];47:[1:0];53:[1:3];59:[1:2];61:[1:2],2,2
7,12,105,105.12.a.b,44,1,-2,4,6,2:[1:1];11:[1:5];13:[1:3];17:[1:1];19:[1:3];23:[1:2];29:[1:1];31:[1:5];37:[1:0];41:[1:6];43:[1:6];47:[1:6];53:[1:6];59:[1:2];61:[1:0];67:[1:0];71:[1:1];73:[1:5];79:[1:4];83:[1:5];89:[1:6];97:[1:6],1,1
7,12,105,105.12.a.b,44,1,-3,2,5,2:[1:2];11:[1:4];13:[1:0];17:[1:6];19:[1:4];23:[1:2];29:[1:5];31:[1:6];37:[1:2];41:[1:0];43:[1:5];47:[1:4];53:[1:4];59:[1:6];61:[1:4];67:[1:4];71:[1:5];73:[1:6];79:[1:2];83:[1:0];89:[1:4];97:[1:0],1,1
7,12,105,105.12.a.b,44,1,-3,1,4,2:[1:3];11:[1:0];13:[1:6];17:[1:3];19:[1:4];23:[1:3];29:[1:2];31:[1:6];37:[1:1];41:[1:6];43:[1:3];47:[1:3];53:[1:1];59:[1:6];61:[1:1];67:[1:6];71:[1:5];73:[1:4];79:[1:3];83:[1:4];89:[1:3];97:[1:4],1,1
7,12,105,105.12.a.b,44,1,-2,0,2,2:[1:5];11:[1:2];13:[1:1];17:[1:0];19:[1:2];23:[1:0];29:[1:1];31:[1:3];37:[1:5];41:[1:3];43:[1:6];47:[1:1];53:[1:1];59:[1:1];61:[1:0];67:[1:0];71:[1:6];73:[1:2];79:[1:4];83:[1:1];89:[1:2];97:[1:5],1,1
3,10,105,105.10.a.a,17,-1,-2,-1,1,2:[1:0];11:[1:0];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1],1,1
3,10,105,105.10.a.a,17,-1,9999,9999,6,2:[1:2];11:[1:0];13:[1:0];17:[1:1];19:[1:2];23:[1:1];29:[1:2];31:[1:2],1,1
3,10,105,105.10.a.a,17,-1,-2,-1,1,2:[1:0:1];11:[1:1:2];13:[1:0:1];17:[1:1];19:[1:2:2];23:[1:1];29:[1:1];31:[1:0:1],1,2
5,10,105,105.10.a.a,44,1,-2,0,2,2:[1:4];11:[1:1];13:[1:3];17:[1:4];19:[1:1];23:[1:0];29:[1:2];31:[1:0];37:[1:1];41:[1:3];43:[1:1];47:[1:0];53:[1:1];59:[1:3];61:[1:2],2,2
7,10,105,105.10.a.a,44,1,0,1,1,2:[1:0];11:[1:0];13:[1:6];17:[1:3];19:[1:3];23:[1:2];29:[1:6];31:[1:6];37:[1:0];41:[1:5];43:[1:1];47:[1:5];53:[1:0];59:[1:4];61:[1:4];67:[1:0];71:[1:2];73:[1:2];79:[1:5];83:[1:2];89:[1:5];97:[1:4],1,1
7,10,105,105.10.a.a,44,1,0,1,1,2:[1:2];11:[1:2];13:[1:2];17:[1:6];19:[1:6];23:[1:0];29:[1:2];31:[1:0];37:[1:6];41:[1:4];43:[1:3];47:[1:5];53:[1:5];59:[1:2];61:[1:4];67:[1:1];71:[1:1];73:[1:2];79:[1:0];83:[1:2];89:[1:5];97:[1:5],1,1
7,10,105,105.10.a.a,44,1,-3,1,4,2:[1:4:6];11:[1:1:3];13:[1:6:6];17:[1:2:2];19:[1:3:5];23:[1:5:3];29:[1:5:2];31:[1:4:1];37:[1:6:6];41:[1:5:5];43:[1:4:5];47:[1:3];53:[1:5:2];59:[1:2:3];61:[1:6];67:[1:6:6];71:[1:5:2];73:[1:3:1];79:[1:2:3];83:[1:4];89:[1:1];97:[1:5:2],1,2
3,10,105,105.10.a.g,8,-1,9999,9999,5,2:[1:0];11:[1:0];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1],1,1
3,10,105,105.10.a.g,8,-1,-2,-1,1,2:[1:1];11:[1:0];13:[1:0];17:[1:2];19:[1:2];23:[1:2];29:[1:1];31:[1:2],1,1
3,10,105,105.10.a.g,8,-1,-2,0,2,2:[1:0:1];11:[1:2:2];13:[1:0:1];17:[1:2];19:[1:2:2];23:[1:2];29:[1:2];31:[1:0:1],1,2
3,10,105,105.10.a.g,8,-1,-1,-1,0,2:[1:0:1];11:[1:2:2];13:[1:0:1];17:[1:2];19:[1:2:2];23:[1:2];29:[1:2];31:[1:0:1],1,2
5,10,105,105.10.a.g,8,-1,1,3/2,1/2,2:[1:0];11:[1:3];13:[1:0];17:[1:2];19:[1:3];23:[1:1];29:[1:2];31:[1:4];37:[1:3];41:[1:2];43:[1:0];47:[1:1];53:[1:3];59:[1:0];61:[1:2],2,1
5,10,105,105.10.a.g,8,-1,-2,0,2,2:[1:4];11:[1:1];13:[1:3];17:[1:4];19:[1:1];23:[1:0];29:[1:2];31:[1:0];37:[1:1];41:[1:3];43:[1:1];47:[1:0];53:[1:1];59:[1:3];61:[1:2],2,2
7,10,105,105.10.a.g,1,1,-3,1,4,2:[1:1];11:[1:1];13:[1:0];17:[1:2];19:[1:5];23:[1:1];29:[1:5];31:[1:2];37:[1:1];41:[1:0];43:[1:5];47:[1:5];53:[1:1];59:[1:2];61:[1:5];67:[1:1];71:[1:5];73:[1:2];79:[1:1];83:[1:0];89:[1:5];97:[1:0],1,1
7,10,105,105.10.a.g,1,1,-1,0,1,2:[1:4];11:[1:3];13:[1:4];17:[1:5];19:[1:2];23:[1:1];29:[1:1];31:[1:4];37:[1:0];41:[1:1];43:[1:6];47:[1:4];53:[1:5];59:[1:3];61:[1:0];67:[1:0];71:[1:1];73:[1:4];79:[1:2];83:[1:2];89:[1:4];97:[1:1],1,1
7,10,105,105.10.a.g,1,1,-3,0,3,2:[1:5];11:[1:0];13:[1:1];17:[1:1];19:[1:5];23:[1:5];29:[1:2];31:[1:2];37:[1:4];41:[1:1];43:[1:3];47:[1:2];53:[1:2];59:[1:2];61:[1:3];67:[1:5];71:[1:5];73:[1:6];79:[1:5];83:[1:3];89:[1:2];97:[1:3],1,1
7,10,105,105.10.a.g,1,1,-1,1,2,2:[1:6];11:[1:4];13:[1:6];17:[1:0];19:[1:6];23:[1:0];29:[1:1];31:[1:1];37:[1:6];41:[1:4];43:[1:6];47:[1:3];53:[1:2];59:[1:5];61:[1:0];67:[1:0];71:[1:6];73:[1:3];79:[1:2];83:[1:6];89:[1:6];97:[1:2],1,1
