p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
3,33,14,33.14.a.e,-1,2,3,8,-1,2:[1:0];5:[1:0];7:[1:1];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1],1,1
3,33,14,33.14.a.e,-3,2,5,8,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,14,33.14.a.e,1/2,3/2,1,8,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],2,1
3,33,14,33.14.a.e,-4,1/2,9/2,8,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],2,1
11,33,14,33.14.a.e,-5,1,6,1,1,2:[1:1];5:[1:4];7:[1:4];13:[1:10];17:[1:3];19:[1:5];23:[1:6];29:[1:2];31:[1:8];37:[1:0];41:[1:7];43:[1:10],1,1
11,33,14,33.14.a.e,0,0,0,1,1,2:[1:2];5:[1:10];7:[1:6];13:[1:7];17:[1:10];19:[1:0];23:[1:3];29:[1:2];31:[1:6];37:[1:9];41:[1:6];43:[1:0],1,1
11,33,14,33.14.a.e,-1,1,2,1,1,2:[1:4];5:[1:2];7:[1:4];13:[1:4];17:[1:9];19:[1:2];23:[1:9];29:[1:2];31:[1:1];37:[1:10];41:[1:5];43:[1:1],1,1
11,33,14,33.14.a.e,-3,0,3,1,1,2:[1:7];5:[1:2];7:[1:7];13:[1:7];17:[1:2];19:[1:9];23:[1:9];29:[1:9];31:[1:1];37:[1:10];41:[1:6];43:[1:10],1,1
11,33,14,33.14.a.e,-5,0,5,1,1,2:[1:9];5:[1:10];7:[1:5];13:[1:4];17:[1:1];19:[1:0];23:[1:3];29:[1:9];31:[1:6];37:[1:9];41:[1:5];43:[1:0],1,1
11,33,14,33.14.a.e,0,1,1,1,1,2:[1:10];5:[1:4];7:[1:7];13:[1:1];17:[1:8];19:[1:6];23:[1:6];29:[1:9];31:[1:8];37:[1:0];41:[1:4];43:[1:1],1,1
3,33,16,33.16.a.b,-4,0,4,-4,-1,2:[1:0];5:[1:0];7:[1:1];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1],1,1
3,33,16,33.16.a.b,0,0,0,-4,-1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],1,1
3,33,16,33.16.a.b,-4,-1,3,-4,-1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],1,1
3,33,16,33.16.a.b,-4,-1,3,-4,-1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],1,1
3,33,16,33.16.a.b,-3,0,3,-4,-1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],2,1
11,33,16,33.16.a.b,-5,0,5,-8,1,2:[1:2];5:[1:9];7:[1:6];13:[1:9];17:[1:7];19:[1:7];23:[1:6];29:[1:3];31:[1:6];37:[1:0];41:[1:1];43:[1:1],1,2
11,33,16,33.16.a.b,-4,1,5,-8,1,2:[1:3];5:[1:10];7:[1:5];13:[1:3];17:[1:1];19:[1:6];23:[1:9];29:[1:8];31:[1:9];37:[1:7];41:[1:4];43:[1:1],1,1
11,33,16,33.16.a.b,-5,1,6,-8,1,2:[1:7];5:[1:6];7:[1:2];13:[1:8];17:[1:6];19:[1:0];23:[1:3];29:[1:8];31:[1:10];37:[1:3];41:[1:7];43:[1:0],1,1
11,33,16,33.16.a.b,-1,1,2,-8,1,2:[1:8];5:[1:10];7:[1:6];13:[1:8];17:[1:10];19:[1:5];23:[1:9];29:[1:3];31:[1:9];37:[1:7];41:[1:7];43:[1:10],1,1
11,33,16,33.16.a.b,0,1,1,-8,1,2:[1:9];5:[1:9];7:[1:5];13:[1:2];17:[1:4];19:[1:4];23:[1:6];29:[1:8];31:[1:6];37:[1:0];41:[1:10];43:[1:10],1,1
3,33,16,33.16.a.a,-4,-1,3,-8,1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,16,33.16.a.a,1,2,1,-8,1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,16,33.16.a.a,-3,3/2,9/2,-8,1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],2,1
3,33,16,33.16.a.a,-4,-1/2,7/2,-8,1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],2,1
11,33,16,33.16.a.a,1,2,1,-4,-1,2:[1:1];5:[1:4];7:[1:7];13:[1:1];17:[1:10];19:[1:4];23:[1:9];29:[1:7];31:[1:4];37:[1:8];41:[1:4];43:[1:0],1,1
11,33,16,33.16.a.a,-2,0,2,-4,-1,2:[1:5];5:[1:5];7:[1:4];13:[1:0];17:[1:2];19:[1:5];23:[1:4];29:[1:7];31:[1:0];37:[1:1];41:[1:5];43:[1:8],1,1
11,33,16,33.16.a.a,-2,1,3,-4,-1,2:[1:6];5:[1:5];7:[1:7];13:[1:0];17:[1:9];19:[1:6];23:[1:4];29:[1:4];31:[1:0];37:[1:1];41:[1:6];43:[1:3],1,1
11,33,16,33.16.a.a,-5,0,5,-4,-1,2:[1:10];5:[1:4];7:[1:4];13:[1:10];17:[1:1];19:[1:7];23:[1:9];29:[1:4];31:[1:4];37:[1:8];41:[1:7];43:[1:0],1,1
11,33,16,33.16.a.a,-5,0,5,-4,-1,2:[1:10];5:[1:4];7:[1:4];13:[1:10];17:[1:1];19:[1:7];23:[1:9];29:[1:4];31:[1:4];37:[1:8];41:[1:7];43:[1:0],2,1
3,33,16,33.16.a.c,-4,0,4,-20,1,2:[1:0];5:[1:0];7:[1:1];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1],1,1
3,33,16,33.16.a.c,-4,-1,3,-20,1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],1,1
3,33,16,33.16.a.c,-4,-1,3,-20,1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],1,1
3,33,16,33.16.a.c,-3,-1,2,-20,1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],2,1
3,33,16,33.16.a.c,1/2,1/2,0,-20,1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],2,1
11,33,16,33.16.a.c,0,1,1,-7,1,2:[1:1];5:[1:4];7:[1:7];13:[1:1];17:[1:10];19:[1:4];23:[1:9];29:[1:7];31:[1:4];37:[1:8];41:[1:4];43:[1:0],2,1
11,33,16,33.16.a.c,-2,0,2,-7,1,2:[1:5];5:[1:5];7:[1:4];13:[1:0];17:[1:2];19:[1:5];23:[1:4];29:[1:7];31:[1:0];37:[1:1];41:[1:5];43:[1:8],1,1
11,33,16,33.16.a.c,-2,1,3,-7,1,2:[1:6];5:[1:5];7:[1:7];13:[1:0];17:[1:9];19:[1:6];23:[1:4];29:[1:4];31:[1:0];37:[1:1];41:[1:6];43:[1:3],1,1
11,33,16,33.16.a.c,-5,0,5,-7,1,2:[1:10];5:[1:4];7:[1:4];13:[1:10];17:[1:1];19:[1:7];23:[1:9];29:[1:4];31:[1:4];37:[1:8];41:[1:7];43:[1:0],1,1
11,33,16,33.16.a.c,-5,0,5,-7,1,2:[1:10];5:[1:4];7:[1:4];13:[1:10];17:[1:1];19:[1:7];23:[1:9];29:[1:4];31:[1:4];37:[1:8];41:[1:7];43:[1:0],2,1
3,33,16,33.16.a.d,1,2,1,-7,-1,2:[1:0];5:[1:0];7:[1:1];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1],1,1
3,33,16,33.16.a.d,0,1,1,-7,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,16,33.16.a.d,-4,-1,3,-7,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,16,33.16.a.d,-3,5/2,11/2,-7,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],2,1
3,33,16,33.16.a.d,-4,-1/2,7/2,-7,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],2,1
11,33,16,33.16.a.d,-5,0,5,-20,-1,2:[1:2];5:[1:9];7:[1:6];13:[1:9];17:[1:7];19:[1:7];23:[1:6];29:[1:3];31:[1:6];37:[1:0];41:[1:1];43:[1:1],1,2
11,33,16,33.16.a.d,-4,3,7,-20,-1,2:[1:3];5:[1:10];7:[1:5];13:[1:3];17:[1:1];19:[1:6];23:[1:9];29:[1:8];31:[1:9];37:[1:7];41:[1:4];43:[1:1],1,1
11,33,16,33.16.a.d,1,1,0,-20,-1,2:[1:4];5:[1:6];7:[1:9];13:[1:3];17:[1:5];19:[1:0];23:[1:3];29:[1:3];31:[1:10];37:[1:3];41:[1:4];43:[1:0],1,1
11,33,16,33.16.a.d,-5,1,6,-20,-1,2:[1:7];5:[1:6];7:[1:2];13:[1:8];17:[1:6];19:[1:0];23:[1:3];29:[1:8];31:[1:10];37:[1:3];41:[1:7];43:[1:0],1,1
11,33,16,33.16.a.d,-1,1,2,-20,-1,2:[1:8];5:[1:10];7:[1:6];13:[1:8];17:[1:10];19:[1:5];23:[1:9];29:[1:3];31:[1:9];37:[1:7];41:[1:7];43:[1:10],1,1
11,33,16,33.16.a.d,0,1,1,-20,-1,2:[1:9];5:[1:9];7:[1:5];13:[1:2];17:[1:4];19:[1:4];23:[1:6];29:[1:8];31:[1:6];37:[1:0];41:[1:10];43:[1:10],1,1
3,33,18,33.18.a.a,-2,1,3,13,1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,18,33.18.a.a,-3,0,3,13,1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,18,33.18.a.a,-4,1/2,9/2,13,1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],4,1
11,33,18,33.18.a.a,-3,0,3,5,1,2:[1:1];5:[1:3];7:[1:5];13:[1:0];17:[1:10];19:[1:4];23:[1:4];29:[1:6];31:[1:0];37:[1:4];41:[1:4];43:[1:8],1,1
11,33,18,33.18.a.a,0,1,1,5,1,2:[1:2];5:[1:9];7:[1:5];13:[1:2];17:[1:5];19:[1:10];23:[1:9];29:[1:5];31:[1:3];37:[1:10];41:[1:10];43:[1:0],1,1
11,33,18,33.18.a.a,-5,1,6,5,1,2:[1:9];5:[1:9];7:[1:6];13:[1:9];17:[1:6];19:[1:1];23:[1:9];29:[1:6];31:[1:3];37:[1:10];41:[1:1];43:[1:0],1,1
11,33,18,33.18.a.a,-5,1,6,5,1,2:[1:9];5:[1:9];7:[1:6];13:[1:9];17:[1:6];19:[1:1];23:[1:9];29:[1:6];31:[1:3];37:[1:10];41:[1:1];43:[1:0],2,1
11,33,18,33.18.a.a,-3,3,6,5,1,2:[1:10];5:[1:3];7:[1:6];13:[1:0];17:[1:1];19:[1:7];23:[1:4];29:[1:5];31:[1:0];37:[1:4];41:[1:7];43:[1:3],1,1
3,33,18,33.18.a.c,-4,-1,3,1,1,2:[1:0];5:[1:0];7:[1:1];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1],1,1
3,33,18,33.18.a.c,-4,-1,3,1,1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],2,1
3,33,18,33.18.a.c,-4,-1,3,1,1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],1,1
3,33,18,33.18.a.c,-3,0,3,1,1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],1,1
3,33,18,33.18.a.c,-2,-1,1,1,1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],2,1
11,33,18,33.18.a.c,-3,0,3,8,-1,2:[1:1];5:[1:3];7:[1:5];13:[1:0];17:[1:10];19:[1:4];23:[1:4];29:[1:6];31:[1:0];37:[1:4];41:[1:4];43:[1:8],1,1
11,33,18,33.18.a.c,0,1,1,8,-1,2:[1:2];5:[1:9];7:[1:5];13:[1:2];17:[1:5];19:[1:10];23:[1:9];29:[1:5];31:[1:3];37:[1:10];41:[1:10];43:[1:0],2,1
11,33,18,33.18.a.c,-5,1,6,8,-1,2:[1:9];5:[1:9];7:[1:6];13:[1:9];17:[1:6];19:[1:1];23:[1:9];29:[1:6];31:[1:3];37:[1:10];41:[1:1];43:[1:0],1,1
11,33,18,33.18.a.c,-5,1,6,8,-1,2:[1:9];5:[1:9];7:[1:6];13:[1:9];17:[1:6];19:[1:1];23:[1:9];29:[1:6];31:[1:3];37:[1:10];41:[1:1];43:[1:0],2,1
11,33,18,33.18.a.c,-3,1,4,8,-1,2:[1:10];5:[1:3];7:[1:6];13:[1:0];17:[1:1];19:[1:7];23:[1:4];29:[1:5];31:[1:0];37:[1:4];41:[1:7];43:[1:3],1,1
3,33,18,33.18.a.b,-4,1,5,5,-1,2:[1:0];5:[1:0];7:[1:1];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1],1,1
3,33,18,33.18.a.b,-4,-1,3,5,-1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],2,1
3,33,18,33.18.a.b,-4,-1,3,5,-1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],1,1
3,33,18,33.18.a.b,-3,4,7,5,-1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],1,1
3,33,18,33.18.a.b,-3/2,-1/2,1,5,-1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],2,1
11,33,18,33.18.a.b,-5,0,5,13,-1,2:[1:3];5:[1:8];7:[1:3];13:[1:5];17:[1:3];19:[1:0];23:[1:3];29:[1:1];31:[1:2];37:[1:1];41:[1:1];43:[1:0],1,1
11,33,18,33.18.a.b,-5,1,6,13,-1,2:[1:4];5:[1:1];7:[1:9];13:[1:7];17:[1:9];19:[1:1];23:[1:6];29:[1:10];31:[1:10];37:[1:0];41:[1:8];43:[1:10],1,1
11,33,18,33.18.a.b,-5,1,6,13,-1,2:[1:4];5:[1:1];7:[1:9];13:[1:7];17:[1:9];19:[1:1];23:[1:6];29:[1:10];31:[1:10];37:[1:0];41:[1:8];43:[1:10],1,1
11,33,18,33.18.a.b,-1,3,4,13,-1,2:[1:5];5:[1:6];7:[1:9];13:[1:5];17:[1:5];19:[1:7];23:[1:9];29:[1:10];31:[1:4];37:[1:6];41:[1:1];43:[1:1],1,1
11,33,18,33.18.a.b,-6,0,6,13,-1,2:[1:6];5:[1:6];7:[1:2];13:[1:6];17:[1:6];19:[1:4];23:[1:9];29:[1:1];31:[1:4];37:[1:6];41:[1:10];43:[1:10],1,1
11,33,18,33.18.a.b,-4,0,4,13,-1,2:[1:6];5:[1:6];7:[1:2];13:[1:6];17:[1:6];19:[1:4];23:[1:9];29:[1:1];31:[1:4];37:[1:6];41:[1:10];43:[1:10],1,1
11,33,18,33.18.a.b,3,4,1,13,-1,2:[1:7];5:[1:1];7:[1:2];13:[1:4];17:[1:2];19:[1:10];23:[1:6];29:[1:1];31:[1:10];37:[1:0];41:[1:3];43:[1:1],1,1
3,33,18,33.18.a.d,-2,1,3,8,-1,2:[1:0];5:[1:0];7:[1:1];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1],1,1
3,33,18,33.18.a.d,-1,1,2,8,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,18,33.18.a.d,-3,0,3,8,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,18,33.18.a.d,0,1,1,8,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,18,33.18.a.d,-4,-1/2,7/2,8,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],4,1
11,33,18,33.18.a.d,-5,0,5,1,1,2:[1:3];5:[1:8];7:[1:3];13:[1:5];17:[1:3];19:[1:0];23:[1:3];29:[1:1];31:[1:2];37:[1:1];41:[1:1];43:[1:0],1,1
11,33,18,33.18.a.d,-5,1,6,1,1,2:[1:4];5:[1:1];7:[1:9];13:[1:7];17:[1:9];19:[1:1];23:[1:6];29:[1:10];31:[1:10];37:[1:0];41:[1:8];43:[1:10],1,1
11,33,18,33.18.a.d,-5,1,6,1,1,2:[1:4];5:[1:1];7:[1:9];13:[1:7];17:[1:9];19:[1:1];23:[1:6];29:[1:10];31:[1:10];37:[1:0];41:[1:8];43:[1:10],1,1
11,33,18,33.18.a.d,-1,1,2,1,1,2:[1:5];5:[1:6];7:[1:9];13:[1:5];17:[1:5];19:[1:7];23:[1:9];29:[1:10];31:[1:4];37:[1:6];41:[1:1];43:[1:1],1,1
11,33,18,33.18.a.d,-6,0,6,1,1,2:[1:6];5:[1:6];7:[1:2];13:[1:6];17:[1:6];19:[1:4];23:[1:9];29:[1:1];31:[1:4];37:[1:6];41:[1:10];43:[1:10],1,1
11,33,18,33.18.a.d,-4,0,4,1,1,2:[1:6];5:[1:6];7:[1:2];13:[1:6];17:[1:6];19:[1:4];23:[1:9];29:[1:1];31:[1:4];37:[1:6];41:[1:10];43:[1:10],1,1
11,33,18,33.18.a.d,0,1,1,1,1,2:[1:7];5:[1:1];7:[1:2];13:[1:4];17:[1:2];19:[1:10];23:[1:6];29:[1:1];31:[1:10];37:[1:0];41:[1:3];43:[1:1],1,1
11,33,18,33.18.a.d,0,0,0,1,1,2:[1:8];5:[1:8];7:[1:8];13:[1:6];17:[1:8];19:[1:0];23:[1:3];29:[1:10];31:[1:2];37:[1:1];41:[1:10];43:[1:0],1,1
3,33,20,33.20.a.a,-6,-1,5,-4,-1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],1,1
3,33,20,33.20.a.a,-3,0,3,-4,-1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],1,1
3,33,20,33.20.a.a,-1,0,1,-4,-1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],1,1
3,33,20,33.20.a.a,-4,2,6,-4,-1,2:[1:1];5:[1:1];7:[1:2];13:[1:2];17:[1:1];19:[1:0];23:[1:2];29:[1:0];31:[1:2];37:[1:0];41:[1:1];43:[1:0],4,1
11,33,20,33.20.a.a,-4,1,5,-8,1,2:[1:1];5:[1:8];7:[1:3];13:[1:1];17:[1:3];19:[1:10];23:[1:9];29:[1:7];31:[1:3];37:[1:2];41:[1:3];43:[1:1],1,1
11,33,20,33.20.a.a,-6,1,7,-8,1,2:[1:1];5:[1:8];7:[1:3];13:[1:1];17:[1:3];19:[1:10];23:[1:9];29:[1:7];31:[1:3];37:[1:2];41:[1:3];43:[1:1],1,1
11,33,20,33.20.a.a,0,1,1,-8,1,2:[1:3];5:[1:5];7:[1:3];13:[1:8];17:[1:1];19:[1:3];23:[1:6];29:[1:7];31:[1:2];37:[1:0];41:[1:2];43:[1:10],1,1
11,33,20,33.20.a.a,-5,1,6,-8,1,2:[1:6];5:[1:7];7:[1:10];13:[1:10];17:[1:7];19:[1:0];23:[1:3];29:[1:7];31:[1:7];37:[1:4];41:[1:8];43:[1:0],1,1
11,33,20,33.20.a.a,-5,0,5,-8,1,2:[1:8];5:[1:5];7:[1:8];13:[1:3];17:[1:10];19:[1:8];23:[1:6];29:[1:4];31:[1:2];37:[1:0];41:[1:9];43:[1:1],1,2
11,33,20,33.20.a.a,-2,0,2,-8,1,2:[1:10];5:[1:8];7:[1:8];13:[1:10];17:[1:8];19:[1:1];23:[1:9];29:[1:4];31:[1:3];37:[1:2];41:[1:8];43:[1:10],1,1
3,33,20,33.20.a.c,-4,4,8,-8,1,2:[1:0];5:[1:0];7:[1:1];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1],1,1
3,33,20,33.20.a.c,-4,2,6,-8,1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],2,1
3,33,20,33.20.a.c,-6,0,6,-8,1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,20,33.20.a.c,-4,2,6,-8,1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,20,33.20.a.c,-3,1,4,-8,1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,20,33.20.a.c,-2,3/2,7/2,-8,1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],2,1
11,33,20,33.20.a.c,-3,0,3,-4,-1,2:[1:2];5:[1:4];7:[1:2];13:[1:0];17:[1:5];19:[1:10];23:[1:4];29:[1:9];31:[1:0];37:[1:5];41:[1:10];43:[1:3],1,1
11,33,20,33.20.a.c,-7,0,7,-4,-1,2:[1:2];5:[1:4];7:[1:2];13:[1:0];17:[1:5];19:[1:10];23:[1:4];29:[1:9];31:[1:0];37:[1:5];41:[1:10];43:[1:3],1,1
11,33,20,33.20.a.c,0,1,1,-4,-1,2:[1:4];5:[1:1];7:[1:2];13:[1:4];17:[1:8];19:[1:3];23:[1:9];29:[1:2];31:[1:5];37:[1:7];41:[1:3];43:[1:0],1,1
11,33,20,33.20.a.c,-5,0,5,-4,-1,2:[1:7];5:[1:1];7:[1:9];13:[1:7];17:[1:3];19:[1:8];23:[1:9];29:[1:9];31:[1:5];37:[1:7];41:[1:8];43:[1:0],1,1
11,33,20,33.20.a.c,-5,0,5,-4,-1,2:[1:7];5:[1:1];7:[1:9];13:[1:7];17:[1:3];19:[1:8];23:[1:9];29:[1:9];31:[1:5];37:[1:7];41:[1:8];43:[1:0],2,1
11,33,20,33.20.a.c,-7,0,7,-4,-1,2:[1:9];5:[1:4];7:[1:9];13:[1:0];17:[1:6];19:[1:1];23:[1:4];29:[1:2];31:[1:0];37:[1:5];41:[1:1];43:[1:8],1,1
11,33,20,33.20.a.c,-3,0,3,-4,-1,2:[1:9];5:[1:4];7:[1:9];13:[1:0];17:[1:6];19:[1:1];23:[1:4];29:[1:2];31:[1:0];37:[1:5];41:[1:1];43:[1:8],1,1
3,33,20,33.20.a.b,-4,2,6,-7,-1,2:[1:0];5:[1:0];7:[1:1];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1],1,1
3,33,20,33.20.a.b,-4,4,8,-7,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],2,1
3,33,20,33.20.a.b,-6,0,6,-7,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,20,33.20.a.b,-4,4,8,-7,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
3,33,20,33.20.a.b,-3,1,4,-7,-1,2:[1:2];5:[1:2];7:[1:2];13:[1:2];17:[1:2];19:[1:0];23:[1:1];29:[1:0];31:[1:2];37:[1:0];41:[1:2];43:[1:0],1,1
